Sample Annotation,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
Compound957,7.267847582,7.373838215,7.588067413,7.43695622,7.362565243,7.611514905,7.5075285,6.686289524,7.584586174,7.591670705,7.746654113,7.246824732,7.595526307,7.41197853,7.523631428,7.32344516,7.551476158,7.504977769,7.520692258,7.749346262,7.249863419,7.170726756,7.410304331,7.428507264,7.506435218,7.472621784,7.778766167
Compound1637,7.073266816,7.15888822,7.272424415,7.315150294,7.05988879,7.047159707,7.175505273,6.961924191,7.512410672,6.602505796,7.025243214,7.302687842,7.153004123,7.013631688,7.189545048,7.221912189,7.111625178,7.065191429,7.353579422,7.235736261,7.27008839,7.333520407,7.345030052,7.114877416,6.496992462,7.205446679,7.324327356
Compound2043,6.837975392,6.794221175,6.843296745,7.033354383,6.947833213,6.776506122,7.017232146,6.875981844,6.565859274,6.888266901,6.612206078,6.596668173,6.914474075,6.861055206,6.985248182,6.952655784,6.867933639,6.870373751,6.47738472,6.945208762,6.646484224,6.948716174,6.460845652,6.760428493,7.006594103,6.850210158,7.203682513
Compound2750,6.676874924,6.64088607,6.604289043,6.788324964,6.672842844,6.54337471,6.648087848,6.597605999,6.641562688,6.62709903,6.464997556,6.719319358,6.617377678,6.605048412,6.739545315,6.462146507,6.822471771,7.013000358,6.64946992,6.575663282,6.327164956,6.543015487,6.746627591,6.703067806,6.694951349,6.656794909,6.743743594
Compound3082,6.970530363,7.112725467,6.966616086,6.759584534,6.895327534,6.828431688,6.89494312,6.83890671,7.148900599,7.001999811,6.92553957,7.004209247,6.849242242,6.997243914,6.902210787,6.96268331,6.743168723,6.815992501,6.999344674,6.9525255,6.939320114,6.953009694,6.882222423,6.743954303,6.736472473,6.784070952,6.883985625
Compound3342,6.862841805,6.78301377,6.671410338,6.574470371,6.805602518,6.887359228,6.628220023,6.708465983,6.805287354,6.733854761,6.615926038,6.755736627,6.735480063,6.825685257,6.671815139,6.757143991,6.695422863,6.659780989,6.744366517,6.755477783,6.773215773,6.837872497,6.731330419,6.737769408,6.733694149,6.740512028,6.819428722
Compound3742,6.847567598,6.839234034,6.806994408,6.58874475,6.759281507,6.892476029,6.686369031,6.731166164,6.541105375,6.895275422,6.726997797,6.703247385,6.676547861,6.687705946,6.838338635,6.770472322,6.7765489,6.680305876,6.817805432,6.625497746,6.59614608,6.798246028,6.763228707,6.729800895,6.716020144,6.821455367,6.801810552
Compound4145,5.631104242,5.914215767,5.746423839,5.477624933,5.850061245,5.682757222,5.737307282,5.651884361,5.744351074,5.788648681,5.922917828,5.906904935,5.497496205,5.875334625,5.797520506,5.613247825,5.730217745,5.666204156,5.654432195,5.720336843,5.569328445,5.745199677,5.693219514,5.894991663,5.878325389,5.673273069,5.60217355
Compound69,7.748432831,8.034160998,8.495910292,8.40147158,8.38124022,8.305495429,8.52679485,8.47472172,8.48124594,7.819613309,8.273588011,8.205066929,8.048517096,8.320395391,8.266370322,8.066604941,8.765472709,8.081072907,8.345152736,8.331393238,8.373974628,8.27085125,7.753896213,8.105121378,7.831187645,7.769136901,7.949509465
Compound1432,7.170768703,7.200834908,7.3060264,7.034459972,7.3079784,6.792889185,7.285402905,7.402707744,7.027617755,7.213663033,7.055107486,7.365488249,7.268852154,7.502512853,7.269700562,7.103730252,7.491378455,6.928021918,7.080905096,7.240550597,6.997873216,7.380439283,7.335939999,7.55913199,7.267345977,7.308302122,7.165040855
Compound929,7.492516043,7.498708889,7.135823856,7.43623354,7.311722684,7.594947458,7.056801643,7.226414323,7.131011091,7.150999059,7.427161007,7.537875557,7.178107517,7.480569913,7.455377186,7.548722034,7.654895496,7.452462398,7.322654852,7.617627836,6.756187923,7.544540764,7.601709082,7.56999873,7.593405009,7.516207362,7.478457694
Compound2399,6.797542088,6.698484434,6.722114166,6.746045433,6.777675348,6.67643489,6.746387218,6.749321045,6.737723286,6.872140522,6.877450446,6.714048951,6.77824169,6.560050723,6.80153439,6.996462554,7.06921453,6.903245578,6.849872969,6.710875647,6.866676397,6.775071603,6.791038021,6.857394184,6.782559341,6.742722849,6.746489908
Compound2551,7.209382285,7.093054003,6.972389623,7.139147881,7.077618175,7.046555037,7.117372725,7.13042382,7.050315252,7.137493308,6.730604672,7.068015486,7.141710122,6.946798785,7.218479212,6.790710432,7.142045911,6.894312948,7.208396764,7.078670829,7.087094833,7.22334699,7.046243101,7.003964104,6.930393269,7.145678866,6.892475357
Compound2094,6.905042522,7.051321622,6.575626423,6.786572981,6.610445061,6.64806207,6.94480576,7.198303465,6.959543743,6.961867367,7.028607718,6.908319518,6.994869765,6.877058456,7.027912011,7.014703765,7.158858549,7.026579437,6.684362955,6.963550449,7.004498816,6.899630945,6.890941329,6.764166536,6.987525714,7.102247865,7.095765066
Compound350,7.420957012,7.825015882,7.501724671,7.61512374,7.830001445,7.886481477,7.834625132,8.121247713,7.772888163,7.80638305,7.782217506,7.509710399,7.60701103,7.578429527,6.938601338,7.667407876,7.892231766,7.993782569,7.863155907,7.613148361,7.734869026,8.023901358,7.887244455,7.565293177,7.422367311,7.533924301,8.041069216
Compound636,7.485660684,6.96595123,7.669985294,7.365453531,7.68294037,7.711317616,7.336283814,7.896709054,7.630924731,7.845640071,7.547079663,7.664105543,7.766632584,7.442092298,7.567570273,7.627509158,7.66278526,7.676401738,7.480345325,7.712129864,7.071356514,7.590277124,6.632624769,7.7130924,7.23867323,7.280962912,7.219281334
Compound1580,6.756668958,7.236715306,6.986348616,7.276537389,7.061122376,7.067417952,7.144810362,6.955234923,7.081399739,6.791221457,6.803834877,7.047419483,7.214170816,7.205258202,6.673390271,7.082070126,7.195966113,6.968234656,7.057265185,7.327630093,6.855537389,6.933082297,6.803128248,6.977520864,7.19573681,6.867362714,7.39368475
Compound2122,7.141206569,7.006353028,7.336487545,7.223271367,7.066280477,7.124156991,7.201516153,7.074508243,7.08701286,6.774263508,6.802098634,7.157849677,6.816960648,7.273519055,7.329507041,7.225649307,7.010648411,7.029771129,7.243877955,7.292761174,7.02945647,7.164181995,7.231241706,6.313337879,7.393484564,6.848575305,7.289106886
Compound2681,7.076413847,7.081378407,7.064680926,6.763345454,7.151944162,7.03180131,7.062105619,6.983492404,6.878735232,6.85923577,6.951151704,7.063674088,6.948380715,6.537209714,6.992096251,6.969552995,7.071006836,6.935689951,7.13171192,6.964983651,7.084046635,7.112760284,7.192584605,7.105500729,6.834707968,7.07395804,6.965227604
Compound3995,6.554786541,6.582794756,6.539582368,6.521528505,6.49842477,6.568060903,6.595033882,6.494019406,6.420476271,6.473556914,6.671983863,6.557740869,6.584756354,6.704984976,6.544404354,6.415250717,6.617689555,6.354087399,6.588474051,6.525995886,6.593150717,6.496371389,6.536372236,6.635642372,6.717041667,6.289063744,6.501949042
Compound484,7.408793587,7.728792142,7.720226186,7.939592147,7.281920222,7.648113059,7.532956954,7.197151453,7.48963328,7.844917592,7.630855565,7.526324323,7.705378464,7.592250051,7.366615185,7.74984413,7.769216549,7.560991427,7.625514783,7.662464839,7.595003091,7.623517352,7.515802219,7.662472966,7.801067592,7.354891542,7.388982443
Compound575,7.455052113,7.253008446,7.377494016,7.273278688,7.201863424,7.379168439,7.447190968,7.402305755,7.114415412,7.013219893,7.614421206,7.347049091,7.351094178,7.280412203,7.532961519,7.362383779,7.164191573,7.923536112,7.29701109,7.313676647,7.426254409,7.137213187,7.628167785,7.301440874,7.396575389,7.53939982,7.393754984
Compound3308,6.724550937,6.758109078,6.777530926,6.564826905,6.658516487,6.658288202,6.750783122,6.721000585,6.718766446,6.71621719,6.587408326,6.801963297,6.733064288,6.735383102,6.666085015,6.599617486,6.77537418,6.691429225,6.676903295,6.72347474,6.766251715,6.758052602,6.645221634,6.714860716,6.783353536,6.692529571,6.656772084
Compound2517,7.036799063,7.233089088,7.05496025,7.05805811,7.157291722,7.120935569,7.240607262,6.032770632,6.857009713,6.804859489,7.200604838,7.062896096,6.794498713,6.996992971,6.986518828,7.000007418,7.354743433,6.529288969,7.172956982,7.101212234,6.721936966,7.06002182,6.908975416,7.278235072,7.060524811,7.20085665,7.2117495
Compound1907,6.866004234,6.85494539,6.931807764,7.063434027,6.977401918,7.058110683,7.174996809,7.001954085,6.33892591,7.137253952,7.005516549,7.272350156,6.959012756,7.127601162,7.050187865,6.711433033,7.160180438,6.795023765,6.963654474,6.941900052,6.868569397,6.990360777,6.95187126,7.115680483,6.877217818,6.965799729,6.983648149
Compound3603,6.760557389,6.676547092,6.665927151,6.779861921,6.666367667,6.69067393,6.811707525,6.822966248,6.902968025,6.778588951,6.905024404,6.706445552,6.798189337,6.802084832,6.831170807,6.766326544,6.802838422,6.810296279,6.783961925,6.97119149,6.578178185,6.87665054,6.790654673,6.836900326,6.80014555,6.864856875,6.58384032
Compound3820,5.683162621,5.773057746,5.676228788,5.29555196,5.854251022,5.660887959,5.73678804,5.563858721,5.676562278,5.727577478,5.746977262,5.799264736,5.496937622,5.978890328,5.767425372,5.717411787,5.644947542,5.765205662,5.748164578,5.773763497,5.666322974,5.731483588,5.74087302,5.897277213,5.798081577,5.76028056,5.598859723
Compound757,7.640139075,6.730259116,7.348912369,7.230657249,7.250773582,7.249856139,7.587266192,6.980434656,6.847771621,7.644812312,7.291016756,6.968553255,7.010966677,7.452499744,7.307721457,7.326171872,7.015181365,6.968506907,7.687186784,7.374089702,6.867794697,7.169464817,7.291497303,7.46548454,7.504800464,6.990162188,7.77541035
Compound1014,7.513598203,7.803000165,7.80171149,7.627428635,7.352095421,7.683207016,7.549490278,7.799331108,7.638597777,7.671683982,7.825958387,7.620676476,7.849764799,7.14673814,7.759939581,7.498132419,7.78147151,7.781592328,7.716511433,7.635738359,7.746598672,7.828734158,7.629240191,7.328948506,7.631789979,7.601401947,7.506760123
Compound2248,7.241142497,7.414443704,7.293261897,7.346281152,7.286670616,7.163505065,7.145116439,6.991079415,7.221593105,7.312440204,7.195123722,7.322922337,7.285043736,7.317099302,6.941912942,7.30828543,6.927568868,7.143734011,7.016613144,6.595039052,7.058438955,7.350801505,7.296495665,6.998028003,7.226923755,7.195713015,6.879418494
Compound3292,6.67558774,6.874610676,6.733785536,6.830044387,6.788083926,6.702167102,6.853540898,6.702186559,6.798774108,6.737049047,6.859424942,6.810535748,6.761133886,6.849387832,6.878403966,6.41193391,6.750373765,6.812831369,6.805786818,6.860314158,6.706808209,6.787428015,6.70796573,6.726228065,6.81715189,6.909435221,6.632823504
Compound3853,6.713508155,6.687023741,6.711782642,6.594925605,6.569278087,6.702093921,6.740473191,6.704491707,6.788820629,6.671658551,6.805654149,6.690616798,6.736876621,6.606743085,6.636208393,6.564905607,6.682684075,6.521166765,6.531687253,6.658805735,6.781238987,6.752622856,6.655389138,6.717272316,6.608813664,6.71603002,6.671138464
Compound4008,5.698530452,5.87398123,5.686999132,5.639978138,5.853746355,5.740490086,5.581534772,5.643262174,5.699897104,5.910667068,5.840453398,5.877148814,5.66222718,5.932609564,5.770599682,5.569971141,5.605226725,5.692064851,5.72696762,5.775119025,5.747341753,5.700513599,5.77721917,5.974343146,5.836689346,5.785968729,5.587728353
Compound2287,7.138245867,6.893534252,7.009949421,7.023035515,7.073506339,7.030439413,6.974389524,7.009331856,6.833648142,6.995787886,6.976770835,6.927357846,6.941667266,7.002783014,7.144639557,6.606899231,6.777718039,6.934284709,6.835868561,6.923182153,6.782286624,6.710551542,6.840273123,6.608498252,6.869107736,7.13498779,6.965472437
Compound2812,7.069725398,7.100353421,7.147638235,7.019571172,6.94049732,7.013699033,6.998345153,6.896103762,6.925860383,6.88791983,7.045158864,7.072722907,7.040777361,7.064089127,7.065463661,7.096124715,7.13752094,7.047901709,7.187301066,7.194672439,6.69556539,7.221654168,7.098601588,6.861283714,7.178851589,7.007474634,6.8794708
